article_title,article_author,article_abstract
Utah anti-mask rally goes viral after attendees spout conspiracies and comparisons to George Floyd,Aysha Qamar,"As health experts continue to encourage mask-wearing across the country, some anti-maskers just won’t give up. They have been refusing to wear masks since the start of the pandemic, despite research supporting that masks significantly prevent the..."
"GA-Sen A: ""Sen. David Perdue Says His Perfectly Timed Stock Trades Are Completely Innocent""",poopdogcomedy,From The Daily Beast :
KY-Sen: Gov. Andy Beshear (D) Endorses Amy McGrath (D) In Her Bid To Take Out Moscow Mitch,poopdogcomedy,Some big news today out Kentucky :
Donald Trump Is a Hypocritical Germaphobe: No lives matter except his own,Charles Jay,Donald Trump is such a narcissistic sociopath that for him no lives matter except his own and maybe his children’s. Trump himself is a life-long germaphobe who has always gone to extraordinary lengths to protect himself even...
"The Texas Tribune, ""Biden campaign adds more staff in Texas""",poopdogcomedy,"From The Texas Tribune : Joe Biden's campaign is expanding its staff in Texas, bringing on 13 more people as the state continues to look competitive with just over seven weeks to go before the ..."
"Embattled Trump HHS official claims CDC 'sedition,' urges Trump supporters to 'buy ammunition'",Hunter,"Over the weekend, multiple news outlets broke the story that Trump's appointed assistant secretary of public affairs in the Department of Health and Human Services and his assistants have been watering down or blocking key reports from the Centers..."
Newly revealed Trump quote shows—again—his contempt for other people's lives,Laura Clawson,"Bob Woodward’s hours of interviews with Donald Trump have yielded yet another confirmation that Trump does not care about the lives of ordinary Americans, including his own supporters. In an April 13 interview, Trump says the coronavirus is “so..."
"SC-Sen: Rolling Stone, ""Jaime Harrison (D) Is Ready to End Lindsey Graham’s (R) Career in Congress""",poopdogcomedy,"Rolling Stone Magazine recently interviewed U.S. Senate candidate, Jaime Harrison (D. SC), about his upcoming tight race against incumbent U.S. Senator Lindsey Graham (R. SC). Ryan Bort talks with ..."
American parents are realizing that Donald Trump is the reason their kids can't go back to school,Dartagnan,"As the third week in September begins, millions of American parents are experiencing firsthand exactly what it means to be saddled with a president who bungled this country’s response to the worst public health crisis in over a century, leaving their..."
"With McConnell's Senate abdicating, Pelosi has to figure out how to save the country",Joan McCarter,"It's been 122 days since the House passed the $3 trillion HEROES Act, which Mitch McConnell has refused to take up, and it's 16 days until the government runs out of funding with the end of the fiscal year. Oh, and the election is in 50 days. All those..."
Top medical expert: Trump's recent Nevada rally is 'negligent homicide',Aldous J Pennyfarthing,"Jonathan Reiner is a professor of medicine and surgery at George Washington University and a medical analyst for CNN, and boy oh boy, he’s not a fan of Donald Trump’s rallies. Nor should he be. Speaking with CNN’s Ana Cabrera yesterday, he went there �?.."
Trump is 'not at all concerned' about indoor rally during COVID-19—because he personally is safe,Laura Clawson,"Donald Trump packed in the fans for an indoor rally at a Henderson, Nevada manufacturing company facility on Saturday night, but he’s not worried about the spread of COVID-19. To himself, anyway. “I’m on a stage and it’s very far away,�?Trump told a..."
New OH Predictive Insights Poll Has Joe Biden Beating Trump In Arizona 52-42,poopdogcomedy,"Some very good news today out of Arizona: Arizona, for the first time, just became a double-digit disaster area for Donald Trump, a new low for the president whose road to the White House runs through Arizona. As Trump arrives in the state today for..."
Trump holds first indoor rally since Tulsa humiliation,Laura Clawson,"The state of Nevada’s COVID-19 numbers are not great, and Donald Trump spent the weekend doing his part to make them worse. Trump held two rallies in Nevada, with the second being his first indoor rally since the Tulsa, Oklahoma, embarrassment...."
"Novel Coronavirus in graphs, data, and facts exposing the guilt of Donald Trump- A must read diary!",Dem,"In 2019, Donald Trump was warned by American researchers within the World Health Organization about how dangerous and deadly the novel coronavirus is. In January , the nation’s intelligence agencies warned Donald Trump about how dangerous and deadly..."
Cartoon: So many hoaxes,Tom Tomorrow,"If you enjoy this work, and if you can afford to do so, please consider helping me keep it sustainable in this no good, very bad year and beyond, by joining �?Sparky’s List ! Also: my new book, ..."
"Overnight News Digest September 13, 2020",side pocket,"Welcome to the Overnight News Digest with a crew consisting of founder Magnifico, regular editors side pocket, maggiejean, Chitown Kev, Interceptor7, Magnifico, annetteboardman, Besame and jck. ..."
Here's another reason to vote BidenHarris 2020.,abluerippleinohio,This is what happened when the coronavirus really hit hard and Dayton Public Schools had to mobilize school buses with lunches and mobile hotspots to low income households. I'm seeing this problem as well. I have been in a state of absolute...
Miami University students admit they tested positive for COVID-19 but hosted party anyway,Aysha Qamar,"As colleges across the country open only to close amid the novel coronavirus pandemic due to outbreaks on campus, schools nationwide are blaming students for being irresponsible. The actions of some students who are not taking the virus..."
Trump lied about how serious coronavirus is. What difference does it make?,tedfuller,"I have long accused Trump of downplaying how serious coronavirus is. I thought “He MUST know how serious it is! He has access to the world’s best experts.�?Now, we have the proof that Trump knew how serious coronavirus is, but he deliberately..."
"Florida update from the front lines: Why it's tied, how to win Fla's Latinos and triumph here",Tweedledee5,"Posted recently in the thread on Bloomberg’s donation to the Florida Biden-Harris effort, but thought it would be good to expand a bit into a full diary. We’re the grunts in the trenches down here and while we’re not up on the policy and strategy..."
"That free COVID-19 testing isn't free to many, and Trump isn't going to fix that",Joan McCarter,"Back in April, the Trump administration announced it would require private health insurers to provide free antibody tests for coronavirus. ""It is critical that Americans have peace of mind knowing ..."
NY Times Says Democrats are Responsible for No More COVID Relief: Good Journalism Provides Context,RandomNonviolence,"In the old days, the President would typically propose legislation, then the House would pass a bill, the Senate would pass a bill and then a joint House-Senate reconciliation committee would work out a compromise that could pass both houses and..."
"Adults with COVID-19 twice as likely to report having dined at a restaurant, says new CDC study",Marissa Higgins,"As the nation continues to face the novel coronavirus pandemic with little significant guidance from the Trump administration, many people are struggling to determine the best possible protections for themselves. While wearing a mask, washing your..."
"Trump, McConnell hid the truth; FDR, Barkley told the truth",Berry Craig,"This post originally appeared on the Kentucky State AFL-CIO website. By BERRY CRAIG AFT Local 1360 President Trump said he didn’t tell us how lethal Covid-19 was because he didn’t want to cause a ""panic.�?“That’s pretty rich coming from the..."
"Canada reported zero COVID-19 deaths on Friday; the U.S.? 1,094",Aldous J Pennyfarthing,"Friday was the anniversary of both the 2001 attacks on the World Trade Center and Pentagon and the assault on a U.S. diplomatic outpost in Benghazi, Libya. On September 11, 2020 �?to far less consternation and alarm �?1,094 Americans died mostly..."
"COVID-19 State-by-State: Iowa, Aug. 12, 2020; More school cases",Witgren,"Hello all. Back for a quick Iowa COVID-19 news roundup. As of 10 a.m. this morning, the state was reporting 1,219 COVID-19 deaths and 73,547 cumulative cases. 4 counties (Sioux, Lyon, Bremer and Plymouth) have reported a 14-day average positive test..."
"Teachers have public support for COVID-19 safety strikes, this week in the war on workers",Laura Clawson,"Teachers in some areas have said they might go on strike rather than going back to in-person teaching if they felt it would be unsafe—and a majority of Americans would support them , a new HuffPost/"
"Video of 1/2-Mile Line for Food in Virginia Goes Viral After Being RT'ed by The Lincoln Project, etc",lowkell,"Cross-posted from Blue Virginia Yesterday afternoon at 2:52 pm, citizen journalist Brandon Jarvis posted this video of “the line on Route 10 for the Chesterfield food bank…currently a double wide line that stretches nearly half of a mile.�?It..."
Donald Trump: Public Enemy No. 1,Kerry Eleveld,"Donald Trump's taped confession during a February interview with Bob Woodward that he knew the coronavirus was ""deadly stuff"" but blatantly and repeatedly lied about it to the public is hands down ..."
YouGov Poll: Biden's Lead Is 10% After Trump Revelations,mastergardener2k,"news.yahoo.com/�?Joe Biden’s lead over Donald Trump has grown to 10%, according numbers released today in a Yahoo News/YouGov poll and news story. Biden now leads 49% to 39% over Trump in the survey taken September 9-11. In the previous poll..."
FOX NEWS Spins Ludicrous Comparison of 9/11 to the Coronavirus,News Corpse,"It's the 19th anniversary of the terrorist attacks on September 11, 2001. It was a day that shook the nation, and the world, in a profoundly painful way that woke many up to the reality of our vulnerabilities. And on this solemn day there have been..."
Trump’s Invoking Churchill Again? No. NO! HELL NO!,dsnottselliott,Really? Trump’s thinking his “I didn’t want people to panic�?equates to Churchill’s “Let us therefore brace ourselves to our duties�?isn’t just b.s. �?but delusions of grandeur. Again. And dangerous too. Let’s start off with a...
Senate Republicans privately more worried that Trump talked to Woodward than about his deadly lies,Joan McCarter,"Three days into the revelation that Donald Trump willfully lied to the American people about the deadly coronavirus from the absolute beginning of the crisis, and Senate Republicans are still hiding out, avoiding the press, pretending like they missed..."
Cartoon: a National Tee Time,btcano,.
Trump showed his contempt for his supporters in the weeks after saying COVID-19 'goes through air',Laura Clawson,"On February 7, Donald Trump told Bob Woodward that coronavirus is transmitted by air. “It goes through air, Bob. That's always tougher than the touch. You know, the touch, you don't have to touch things. Right? But the air, you just breathe the air and..."
"Covid-19 California 9/11/20: Cases are down, the state reopens: Have we learned our lesson?",shadowbot1,Hello My Fellow Californians: It continues to be a rough week if you are a being that needs to breathe. We need to take care of each other; many of our fellow California Kossaks are fleeing with the shirts on their back from the fires everywhere in the...
"McConnell's political games stop COVID-19 relief, and the traditional media gets played",Joan McCarter,"It's been 119 days since the House passed the $3 trillion HEROES Act, which Mitch McConnell has refused to take up, and it's 19 days until the government runs out of funding with the end of the fiscal year. One hundred and nineteen days in which Mitch..."
"It wasn't incompetence. Adviser Limbaugh: ""Why couldn't the coronavirus get Donald Trump reelected?�?,certainot""",certainot,A few people in media and recently Senator Chris Murphy have finally suggested Trump wants the pandemic to get worse to help his reelection chances.
19th anniversary of 9/11 falls in the middle of another national tragedy,Laura Clawson,Media is not doing its job.
Trump rally in the key state of Michigan wasn't accompanied by the best local headlines,Laura Clawson,"Trump��s intentions, plans,?and actions were always?very easy to"
Donald Trump is in real trouble in the electoral college ! This is worth checking out !,Dem,"I had several other topics that I have been mulling over and working on, but I looked at the polls and 270 to win and this just is screaming out to be shared. Biden is winning both Michigan (7.6) and Wisconsin (6.9) handily, by almost 7..."
